nome,pec,plesso,ordine,indirizzo,dirigente,email,tel,fax,municipio,proprietario,n_biblioteca,n_laboratori,n_refettori,n_aule_attivita_collettive,n_palestre_coperte,n_palestre_scoperte,n_auditorium,n_ambienti_destinati_ad_aule,n_segreteria,n_ambienti_destinati_al_dirigente_scolastico,n_archivio,n_sale_insegnati,n_sale_riunioni,n_cucine,n_servizi_igenici,n_ascensori,n_piani,n_aule_non_utilizzate,n_locali_concessi_a_enti_in_orario_scolastico,n_locali_concessi_a_enti_in_orario_extrascolastico,n_locali_concessi_a_enti_in_orario_entrambi,n_classi_funzionanti_nell_anno,ore_articolate_su_gg,n_ore_a_tempo_normale,n_ore_a_tempo_prolungato,n_ore_a_tempo_pieno,n_ore_serale,n_alunni_refezione,n_alunni_refezione_tempo_pieno,n_alunni_rientro_settimanale,n_alunni_servizio_trasporto,n_alunni_stranieri,n_classi_alunni_stranieri,n_alunni_inadempienti,iscritti_f,iscritti_m,iscritti_tot,frequentanti_f,frequentanti_m,frequentanti_tot,n_docenti,n_bidelli,n_custode,n_mediatori_culturali,matricola_aqp
C.P.I.A.,bamm29700r@pec.istruzione.it,MASSARI,Secondaria I Grado,VIA DANIELE PETRERA 80,REDAVID LAURA,bamm29700r@istruzione.it,805617219,0,2,Comune di Bari,0,0,0,0,0,0,0,4,0,0,0,1,0,0,2,0,0,0,0,0,0,7,5,0,0,0,5,0,0,0,0,118,7,0,69,61,130,69,61,130,7,1,0,0,0
C.P.I.A.,bamm29700r@pec.istruzione.it,LOMBARDI,Secondaria I Grado,VIA LOMBARDIA,REDAVID LAURA,bamm29700r@istruzione.it,805371009,5371009,3,Comune  di Bari,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,13,5,0,0,0,5,0,0,0,0,212,13,0,27,197,224,27,197,224,6,1,0,0,0
CIRILLO CONV.NAZ. 30° Circolo,bavc010004@pec.istruzione.it,CIRILLO,Secondaria II Grado,VIA D. CIRILLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FERMI - Liceo Scientifico,baps05000a@pec.istruzione.it,FERMI,Secondaria II Grado,Via R. Bovio 19/A,prof.ssa Giovanna GRISETA,baps05000a@istruzione.it,805484304,080 5481680,2,Città Metropolitana,1,7,0,0,1,1,1,60,4,1,6,1,0,0,90,1,2,0,0,1,0,60,5,5,0,0,0,0,0,0,278,16,12,0,753,876,1629,753,876,1629,122,19,1,0,80077357352
FLACCO Q. O. - Liceo Classico,bapc13000v@pec.istruzione.it,LICEO CLASSICO QUINTO ORAZIO FLACCO,Secondaria II Grado,VIA PIZZOLI 58,GIONCADA MARIA ROSARIA CLELIA,bapc13000v@istruzione.it,805211809,805216293,1,COMUNE DI BARI,1,2,0,0,1,1,1,38,2,1,2,1,0,0,11,1,3,0,0,0,0,38,6,6,0,0,0,0,0,0,0,10,8,0,573,289,862,573,289,862,85,12,0,0,00059/99
I.I.S.S. MARCO POLO,bais05900b@pec.istruzione.it,MARCO POLO,Secondaria II Grado,VIALE GIUSEPPE BARTOLO 4/6,Prof.ssa ROSA SCARCIA,bais05900b@istruzione.it,805043936,080 5043408,2,CITTA' METROPOLITANA DI BARI,1,7,0,6,1,1,1,63,6,1,1,1,1,0,48,2,3,0,0,0,0,63,5,7,0,0,0,0,0,0,950,27,18,16,900,587,1487,868,551,1419,154,16,0,0,0
IST. TECNICO ECONOMICO,BATD13000T@PEC.ISTRUZIONE.IT,IST. TECNICO ECONOMICO,Secondaria II Grado,VIA CALDAROLA CENTRO STUDI POLIVALENTE BARI,PROF. GAETANO DABBICCO,batd13000t@istruzione.it,805548738,805548738,1,PROVIMCIA DI BARI,0,9,0,1,1,1,1,36,2,1,1,1,0,0,10,2,2,0,0,1,0,36,5,5,0,0,5,0,0,0,400,18,16,0,370,274,644,370,274,644,94,13,0,0,238200
LICEO DELLE SCIENZE UMANE- LES - LICEO LINGUISTICO,BAPM010001@PEC.ISTRUZIONE.IT,LICEO DELLE SCIENZE UMANE,Secondaria II Grado,Corso Mazzini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCONI-Ist.Tecnico Ind.le,bais63003@pec.istruzione.it,MARCONI,Secondaria II Grado,piazza Poerio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SALVEMINI - Liceo Scientifico,baps060001@pec.istruzione.it,SALVEMINI,Secondaria II Grado,VIA PREZZOLINI,GESMUNDO Tina,baps060001@istruzione.it,805548739,805548742,1,AMMINISTRAZIONE PROVINCIALE DI BARI,1,4,0,1,1,1,1,48,5,1,1,1,1,0,35,2,3,0,0,0,0,48,5,5,0,0,0,0,0,0,0,19,17,0,453,581,1034,453,581,1034,91,15,0,0,NUMERO MATRICOLA CONTATORE IN POSSESSO DELL'AMMINISTRAZIONE PROVINCIALE DI BARI
SCACCHI-Liceo Scientifico,baps01000x@pec.istruzione.it,SCACCHI,Secondaria II Grado,Corso Cavour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LENOCI,BATD13000T@PEC.ISTRUZIONE.IT,LENOCI,Secondaria II Grado,VIA CALDAROLA CENTRO STUDI POLIVALENTE BARI,PROF. GAETANO DABBICCO,batd13000t@istruzione.it,805548738,805548738,1,PROVIMCIA DI BARI,0,9,0,1,1,1,1,36,2,1,1,1,0,0,10,2,2,0,0,1,0,36,5,5,0,0,5,0,0,0,400,18,16,0,370,274,644,370,274,644,93,13,0,0,238200
A N 8,peg.comunebari@pec.rupar.puglia.it,AN8,Asilo,Via Pantaleo Carabellese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LE ALI DI MICHELA,lealidimichela@comune.bari.it,asilo nido comunale le ali di michela,Asilo,piazzetta eleonore,dottoressa Roberta Lorusso,lealidimichela@comune.bari.it,805778230,nessun fax,5,comune di bari,0,0,1,1,0,0,0,3,1,0,0,0,0,1,7,0,0,0,0,0,0,3,5,0,7,3,0,49,25,0,0,2,2,1,22,27,49,22,27,49,10,1,0,0,non è possibile recuperare numero
 Nido d'infanzia Speranza,peg.comunebari@pec.rupar.puglia.it,Speranza,Asilo,Parallela di via Peucetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLARI,asilo.nido.villari@comune.bari.it,asilo nido villari,Asilo,via vilalri 15,dottoressa Roberta Lorusso,asilo.nido.villari@comune.bari.it,805772466,nessun fax,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAOLA LABRIOLA,rip.peg@comune.bari.it,ASILO NIDO Paola Labriola,Asilo,Via C. Ulpiani n. 9,Avv. Roberta Lorusso,asilo.nido.paola.labriola@comune.bari.it,080/5778100 - 8101,0,2,Università degli studi di Bari,0,0,1,3,0,0,0,0,1,1,0,0,1,1,5,1,1,0,0,0,0,2,5,5,5,5,0,21,21,0,0,0,0,0,11,10,21,11,10,21,5,1,0,0,0
LA TANA DEL GHIRO,rip.peg@comune.bari.it,ASILO NIDO LA TANA del GHIRO,Asilo,via laetitia abbaticola 2,avv. roberta lorusso,asilo.nido.latanadelghiro@comune.bari.it,805778180,0,2,comune di bari,0,0,0,3,0,0,0,3,1,1,0,0,0,1,11,0,0,0,0,0,0,3,5,5,5,5,0,54,54,1,0,2,2,0,22,32,54,22,32,54,13,3,0,0,0
LIBERTA',peg.comunebari@pec.rupar.puglia.it,ASILO NIDO LIBERTA',Asilo,via Garruba n. 160,Avv. Lorusso Roberta,asilo.nido.liberta@comune.bari.it,080-5772905,0800-5772905,1,Comune di Bari,0,0,0,1,0,0,0,3,1,0,0,0,0,1,3,0,0,0,0,0,0,3,5,7,0,5,0,20,18,0,0,4,3,0,11,9,20,11,9,20,5,1,0,0,N2 - 050241 - 16
COSTA,peg.comunebari@pec.rupar.puglia.it,ASILO NIDO Costa,Asilo,via Nicola Costa 2 - 4,Avv. Lorusso Roberta,asilo.nido.costa@comune.bari.it,080 - 5343318,805772462,3,Comune di Bari,0,0,1,1,0,0,0,4,1,0,0,0,0,1,5,0,0,0,0,0,0,4,5,7,0,5,0,50,42,0,0,0,0,0,17,33,50,17,33,50,11,1,0,0,TLM3L/2
STANIC,asilo.nido.stanic@comune.bari.it,asilo nido stanic,Asilo,via cassala 5,dottoressa Roberta Lorusso,asilo.nido.stanic@comune.bari.it,805778240,nessun fax,3,comune di bari,0,0,1,1,0,0,0,3,1,0,0,1,0,1,6,0,0,0,0,0,0,3,5,0,7,3,0,42,31,0,0,1,1,1,16,26,42,16,26,42,9,2,0,0,2-050220-16
MONTESSORI,rip.peg@comune.bari.it,ASILO NIDO Montessori,Asilo,Via V. Veneto n. 189,Avv. Roberta Lorusso,asilo.nido.montessori@comune.bari.it,080/5772460 - 2461,0,4,Comune di Bari,0,0,4,4,0,0,0,3,1,1,0,1,1,1,5,0,0,0,0,0,0,3,5,5,5,5,0,48,48,0,0,3,2,0,19,29,48,19,29,48,11,1,0,0,0
PRINCIPESSA IOLANDA (Direzione),pec.circoloinfanzia1@comune.bari.it,PRINCIPESSA IOLANDA (Direzione),Infanzia,Via Carducci 23,Roberta Lorusso,scuola.infanzia.principessajolanda@comune.bari.it,805778150,5211615,1,Morolli Daniela,0,0,1,1,0,0,0,5,1,1,0,0,1,0,4,1,1,0,0,0,0,5,5,25,40,40,0,37,40,0,0,7,5,0,43,53,96,41,50,91,11,1,0,0,N2-050268-16
FERRANINI,pec.circoloinfanzia2@comune.bari.it,FERRANINI ,Infanzia,VIA LUIGI FERRANNINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPERANZA,Pec.circoloinfanzia2@comune.bari.it,SPERANZA,Infanzia,Strada Parallela di Via Peucetia n.4,Avv. Roberta Lorusso,scuola.infanzia.speranza@comune.bari.it,0805778210-8211,no,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL GLICINE BIANCO,pec.circoloinfanzia2@comune.bari.it,IL GLICINE BIANCO,Infanzia,VIALE LUIGI EINAUDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.VENETO,Pec.circoloinfanzia2@comune.bari.it,V.VENETO,Infanzia,C.so Benedetto Croce 130/C,Avv. Roberta Lorusso,scuola.infanzia.vittorioveneto@comune.bari.it,805772475,n.p.,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MANZARI BUONVINO (Direzione),pec.circoloinfanzia3@comune.bari.it,MANZARI BUONVINO (Direzione),Infanzia,Via Alessandro Manzoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAVERIO LIOCE,pec.circoloinfanzia3@comune.bari.it,S. LIOCE,Infanzia,trav. al n18/G di via Giovanni Modugno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN MICHELE,pec.circoloinfanzia3@comune.bari.it,S.MICHELE,Infanzia,Via Colella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORIS MALAGUZZI,pec.circoloinfanzia3@comune.bari.it,LORIS MALAGUZZI (Ceglie),Infanzia,Via Lamie,Roberta Lorusso,scuola.infanzia.lorismalaguzzi@comune.bari.it,0805778130-31,/,4,Comune di Bari,1,0,1,1,0,0,0,2,1,0,0,0,0,0,3,0,1,1,0,0,0,2,5,1,0,1,0,19,19,0,0,3,2,0,18,18,36,18,18,36,4,1,0,0,N2-050001-16
LOSETO,pec.circoloinfanzia3@comune.bari.it,LOSETO,Infanzia,Via Valenzano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALBEROTANZA (Primi passi Alberotanza),ist.alberotanza@pec.it,Asilo Nido Primi Passi 'Pietro Alberotanza',Asilo,TRAV.2^ VIA UMBRIA 5,Suor Anna Rizzuto,ist.alberotanza@tiscalinet.it,080-5371048,080-5316064,3,CONGREGAZIONE SUORE MINIME DELLA PASSIONE DI N.S.G.C.,1,2,2,1,1,1,1,2,1,1,1,1,1,1,6,1,1,0,0,0,0,2,6,6,0,0,0,22,0,0,0,0,0,0,10,12,22,10,12,22,3,1,1,0,MADDALENA-MOD 1 CODICE:5178332 CODICE:5178369
ALBEROTANZA (Primi passi Alberotanza),ist.alberotanza@pec.it,Sezione Primavera Pietro Aberotanza,Asilo,TRAV.2^ VIA UMBRIA 5,Suor Anna Rizzuto,ist.alberotanza@tiscalinet.it,080-5371048,080-5316064,3,CONGREGAZIONE SUORE MINIME DELLA PASSIONE DI N.S.G.C.,1,2,2,1,1,1,1,2,1,1,1,1,1,1,6,1,1,0,0,0,0,2,6,6,0,0,0,20,0,0,1,0,0,0,12,8,20,12,8,20,2,1,1,0,MADDALENA-MOD 1 CODICE:5178332 CODICE:5178369
GIROTONDO CLUB,cooperativacrescereinsieme@legalmail.it,Asilo Nido,Asilo,VIA EROI DI DOGALI 2/B,MARTELLA ROBERTA,girotondo.coop@libero.it,809186531,809186531,1,IMPREDIL,0,0,0,1,0,1,0,4,1,1,1,1,1,0,2,0,1,0,0,0,0,3,6,0,0,6,0,27,27,0,0,0,0,0,13,14,27,13,14,27,3,2,0,0,380756
GIROTONDO CLUB,cooperativacrescereinsieme@legalmail.it,Sezione Primavera,Asilo,VIA MARTIRI D'AVOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL GIRASOLE,scuolailgirasole@pec.confcooperative.it,Asilo Nido,Asilo,CORSO ALCIDE DE GASPERI 294,VINCENZO TROMBINO,scuolailgirasole@yahoo.it,080/5491433,080/5491433,2,MAUROGIOVANNI ANNAMARIA,0,0,0,1,0,1,0,3,0,0,0,0,1,1,2,1,3,0,0,0,0,3,5,3,0,0,0,19,0,0,0,0,0,0,10,9,19,10,9,19,4,2,0,0,5599
MIROPIO',miropio@pec.it,Asilo Nido,Asilo,Via Del Quadrifoglio 14,De Mola Rosa,soc.coopmiropio@libero.it,805306116,805306116,5,DISTASIO GAETANO,0,0,1,1,1,1,0,3,1,1,1,0,0,1,4,0,0,0,0,0,0,3,6,6,0,0,0,15,0,0,0,0,0,0,11,4,15,11,4,15,2,1,0,0,QN1
SANTA MARIA DI LEUCA (Istituto Figlie di Santa Maria di Leuca),barismleuca@gmail.com,asilo,Asilo,VIA CAMILLO ROSALBA 42,SUOR ELENA CARIDEO,barismleuca@gmail.com,805613282,805613282,2,ISTITUTO DELLE FIGLIE DI SANTA MARIA DI LEUCA,0,0,1,1,1,0,0,5,1,1,1,0,0,1,4,1,0,0,0,0,0,5,5,30,35,40,0,95,0,0,0,0,0,0,54,64,118,54,60,114,5,1,1,0,613900
DI CAGNO ABBRESCIA,cresciabari@pec.it,Asilo Nido Di Cagno Abbrescia,Asilo,Corso Alcide De Gasperi 320,Zaccaria Laura,scuoladicagnoabbrescia@gmail.com,802022717,802022717,2,Casa della Compagnia di Gesù,0,0,1,1,0,0,0,3,1,0,0,1,0,1,5,0,0,0,0,0,0,3,5,0,0,36,0,29,29,0,0,0,0,0,11,18,29,11,18,29,4,2,0,0,1288
BABY CLUB,spazioinfanzia@pec.it,Asilo Nido Baby Club,Asilo,Via Gaetano Devitofrancesco 2/N20,Losito Felice,babyclub@spazioinfanzia.it,805561750,805561750,2,Sig. Volpicella Benito,0,0,1,1,0,0,0,2,1,0,0,1,1,1,4,0,0,0,0,0,0,2,5,0,0,36,0,24,24,0,0,0,0,0,9,20,29,9,20,29,4,2,0,0,61761
COMETE’ SOC. COOP. SOC.,comete.coop@pec.it,asilo,Asilo,Via Beata Elia di San Clemente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCUOLA DEI FIORI,scuoladeifiori@pec.confcooperative.it,Asilo Nido Scuola dei fiori Società Cooerativa Sociale,Asilo,Viale Domenico Cotugno 2/4 - 70124 Bari,Maria Chiara de Leonardis,segreteria@scuoladeifiori.it,805618573,0,2,Segen Srl,0,1,1,1,1,0,1,4,1,1,1,1,1,1,3,1,1,0,0,0,0,4 compresa la sezione primavera,6,0,0,4,0,83,83,0,0,0,0,0,38,45,83,38,45,83,13,2,0,0,15595
SIMPATICHE CANAGLIE,simpatichecanaglie.bari@pec.it,Asilo Nido,Asilo,via F. Campione 27,MONTRONE MARTA,simpatichecanaglie.bari@hotmail.it,080/5566210,0,2,EREDI GIORDANI TOBIA,0,0,1,1,0,0,0,2,0,1,0,0,0,1,4,0,0,0,0,0,0,2,5,5,0,0,0,25,0,0,0,0,0,0,16,9,25,16,9,25,4,0,0,0,0000455 CALIBRO 2 05 L
FLY FAMILY c/o Aeroporto di Bari Palese,orlando@pec.confcooperative.it,Asilo Nido,Infanzia,viale enzo ferrari,anna de giorgio,fly@cooporlando.it,805316161,0,5,aereoporti di puglia,0,0,1,1,1,1,0,3,1,1,1,1,1,1,9,1,2,0,0,0,0,3,5,3,1,0,0,65,22,0,0,0,0,0,36,35,71,36,35,71,4,3,0,0,1325
OHANA Asilo Nido,COOPSOCILLABIRINTO@LEGALMAIL.IT,asilo,Asilo,VIA DOMENICO MOREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPERA PIA ARCICONFRATERNITA MARIA SS. DEL CARMINE ETS APS,giuseppe.mele3@geopec.it,Polo Infanzia Opera Pia Carmine ,Asilo,Strada Carmine 11,Anaclerio Grazia ,presidenzaoperapiacarmine@gmail.com,3939321744,no,1,Opera Pia Maria SS del Carmine ,1,1,1,1,1,0,1,2,1,1,1,1,1,1,3,2,3,0,0,0,0,2,5,0,0,5,0,40,40,0,0,4,2,0,21,19,40,21,19,40,3,1,0,0,9999
AGRIBIOSCUOLA Villa Dei Cedri,agri-bioscuolavilladeicedri@pec.confcooperative.it,Agribioscuola Villa dei Cedri,Infanzia,Corso Alcide De Gasperi 378,dott.ssa Lucia Sonia Palermo,scuolavilladeicedri@gmail.com,805650737,8043731168,2,Eredi Girone Nicola,1,0,1,1,1,0,0,3,1,1,1,0,0,1,3,1,1,0,0,1,0,3,6,1,5,0,0,50,30,0,0,0,0,0,30,20,50,30,20,50,3,1,0,-1,575065
ALADDIN SOC. COOP. SOCIALE A R.L. CRESCERE INSIEME,CRESCEREINSIEMEBARI@PEC.IT,ALADDIN,Infanzia,VIA CANONICO ANNIBALE MARIA DI FRANCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIETRO ALBEROTANZA SUORE MINIME DELLA PASSIONE,ist.alberotanza@pec.it,Infanzia,Infanzia,TRAV.2^ VIA UMBRIA 5,Suor Anna Rizzuto,segreteria@istitutoalberotanza.it,080-5371048,080-5316064,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BABY CLUB - SPAZIO INFANZIA,spazioinfanzia@pec.it,Scuola dell'Infanzia paritaria,Infanzia,Via Gaetano Devitofrancesco 2/N20,Losito Felice,babyclub@spazioinfanzia.it,805561750,805561750,2,Volpicella Benito,0,0,1,1,0,0,0,3,1,0,0,1,0,1,4,0,0,0,0,0,0,2,5,30,0,0,0,33,0,0,0,0,0,0,10,23,33,10,23,33,2,1,0,0,61761
BEATA MARIA DE MATTIAS,istitutoscolasticobeatamariademattias@peconline.it,infanzia,Infanzia,via G. De Marinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEATA ELIA DI SAN CLEMENTE,comete.coop@pec.it,infanzia,Infanzia,Via Beata Elia di San Clemente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DI CAGNO ABBRESCIA,cresciabari@pec.it,Scuola dell'Infanzia paritaria Di Cagno Abbrescia,Infanzia,Corso Alcide De Gasperi 320,Zaccaria Laura,scuoladicagnoabbrescia@gmail.com,802022717,802022717,2,Casa della Compagnia di Gesù,0,0,1,1,0,0,0,3,1,0,0,1,0,1,5,0,0,0,0,0,0,2,5,30,0,0,0,34,0,0,0,0,0,0,13,21,34,13,21,34,2,1,0,0,1288
FILIPPO SMALDONE CONGR. S. SALESIANE SACRI CUORI,smaldonebari@pec.it,Scuola dell'Infanzia Paritaria,Infanzia,Strada San Giacomo 2,Rosanna Parata,smaldone@libero.it,805214979,805214979,1,Congregazione Suore Salesiane dei Sacri Cuori,1,3,1,3,1,0,1,5,1,1,1,1,1,1,3,1,3,0,0,0,0,2,5,0,0,2,0,30,30,0,0,0,0,0,19,11,30,19,11,30,2,2,0,0,369609
FLY FAMILY SOC. COOP. SOC. ORLANDO,orlando@pec.confcooperative.it,FLY FAMILY,Asilo,viale enzo ferrari,anna de giorgio,fly@cooporlando.it,805316161,0,5,aereoporti di puglia,0,0,1,1,1,1,0,3,1,1,1,1,1,1,9,1,2,0,0,0,0,4,5,4,1,0,0,79,29,0,0,0,0,0,36,43,79,36,43,79,9,3,0,0,1325
GIARDINO DEI BIMBI SOC COOP SOC,giardinodeibimbi@pec.it,infanzia,Infanzia,Via G. Amendola 197/F,STRUSI COSIMO,giardino.deibimbi@libero.it,080/5484999,5484999,2,DAT ELETTRONICA SRL DI DAPOLI LUIGI,0,1,1,4,1,1,0,4,1,1,0,0,0,1,4,0,0,0,0,0,0,4 (3 infanzia e 1 sez. primavera),5,0,0,5,0,45,45,0,0,0,0,0,23,22,45,23,22,45,4,2,0,0,5032475
GIROTONDO CLUB SOC. COOP. CRESCERE INSIEME ONLUS,cooperativacrescereinsieme@legalmail.it,infanzia,Infanzia,VIA MARTIRI D'AVOLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEIDI,scuolaheidibari@pec.confcooperative.it,infanzia,Infanzia,piazza Garibaldi 18,Monica Papadia,monica_papadia@libero.it,805217181,no,1,istituto borea,0,0,1,1,0,0,0,2,1,1,1,0,0,0,4,0,0,0,0,0,0,1,6,1,5,0,0,15,15,0,0,0,0,0,13,6,19,13,6,19,1,1,0,0,contatore istituto borea angeli
IL GIARDINO DELLE RONDINI,operapiacarminebari@pec.it,Istituto Opera Pia Maria SS Del Carmine,Infanzia,Via Carmine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL GIRASOLE SOC. COOP. SOC.,scuolailgirasole@pec.confcooperative.it,infanzia,Infanzia,CORSO ALCIDE DE GASPERI 294,VINCENZO TROMBINO,scuolailgirasole@yahoo.it,080/5491433,080/5491433,2,MAUROGIOVANNI ANNAMARIA,0,0,1,1,0,1,0,2,0,0,0,0,1,1,2,1,3,0,0,0,0,2,5,2,0,0,0,35,0,0,0,0,0,0,11,24,35,11,24,35,2,2,0,0,5599
ISTITUTO SS.ROSARIO,santissimorosario@pec.it,Infanzia,Infanzia,VIA PUTIGNANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L’ALBERO AZZURRO SOC. COOP. SOCIALE,coopbimbiin@pec.confcooperative.it,SCUOLA DELL'INFANZIA PARITARIA L'ALBERO AZZURRO,Infanzia,Via Santi Cirillo e Metodio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L'ISOLA CHE NON C'E' SOC. COOP. SOCIALE A R.L. CRESCERE INSIEME,CRESCEREINSIEMEBARI@PEC.IT,infanzia,Infanzia,CORSO DE GASPERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madre CLELIA MERLONI,madrecleliabari@pec.it,Istituto MADRE CLELIA MERLONI,Infanzia,VIA MADRE CLELIA MERLONI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISTITUTO MARGHERITA CONGR. SUORE CAPITANIO E GEROSA,istitutomargherita@pec.it,Infanzia,Infanzia,C.SO B.CROCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONSIGNOR SANNA,CONGREG.SUORE@PEC.IT,infanzia,Infanzia,VIALE DELL'ACACIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW SNOOPY SOC. COOP. SOC.,scuolanewsnoopy@pec.confcooperative.it,infanzia,Infanzia,Via M. Garruba 108,Liberio Angela,scuolanewsnoopy@gmail.com,805213395,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARCO FIABE – ISTITUTO SAN PASQUALE,istitutosanpasqualesrlis@pec.gruppoeducom.it,infanzia,Infanzia,STRADA SAN PASQUALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARCO FIABE – ISTITUTO SICILIANI,istitutosicilianisrlis@pec.gruppoeducom.it,infanzia,Infanzia,VIA TOMMASO SICILIANI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PINUCCIA MODUGNO,epcpep.bari@legalmail.it,infanzia,Infanzia,corso De Tullio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PREZ.MO SANGUE,IstitutoPreziosissimoSangueBari@pec.it,infanzia,Infanzia,VIA SCIPIONE l?AFRICANO 272,Prof.ssa Francesca Palamà,ips-scuola@libero.it,805425745,805426501,2,Adoratrici del Sangue di Cristo,0,1,0,2,2,1,2,2,1,1,1,1,2,0,10,2,4,0,0,0,0,2,6,6,0,0,0,0,0,0,0,1,1,0,16,29,45,16,29,45,5,1,1,0,20
SCUOLA DEI FIORI,scuoladeifiori@pec.confcooperative.it,Scuola dei Fiori Società Cooperativa Sociale,Infanzia,Viale Domenico Cotugno 2/4,Maria Chiara de Leonardis,segreteria@scuoladeifiori.it,805618573,0,2,Segen Srl,0,1,1,1,1,0,1,6,1,1,1,1,1,1,3,1,2,0,0,0,0,6,6,0,0,6,0,138,138,0,0,0,0,0,58,80,138,58,80,138,10,2,0,0,15595
PINOCCHIO,PINOCCHIO145@PEC.IT,infanzia,Infanzia, VIA MALTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNUPY,snupy.ba@sicurezzapostale.it,infanzia,Infanzia,VIA VACCARELLA 53,DOTT.SSA ANNACLAUDIA MASTROVITI,scuolamaternasnupy@libero.it,3896864281,5038333,4,fratelli Quaranta,0,0,0,1,0,0,0,3,0,1,0,0,0,0,2,0,1,0,0,0,0,3,5,25,0,0,0,0,0,0,1,0,0,0,21,25,46,21,25,46,3,1,0,0,147871
ALBEROTANZA,ist.alberotanza@pec.it,Scuola Primaria,Primaria,TRAV.2^ VIA UMBRIA 5,Suor Anna Rizzuto,ist.alberotanza@tiscalinet.it,805371048,080-5316064,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEATA MARIA DE MATTIAS,istitutoscolasticobeatamariademattias@peconline.it,primaria,Primaria,via G. De Marinis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLELIA MERLONI,madrecleliabari@pec.it,MADRE CLELIA MERLONI,Primaria,VIA MADRE CLELIA MERLONI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
